ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
sv8-241,Archaludon ex,1018.0,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/241_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-241
sv10-188,Hydrapple,1019.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Jerky,https://images.pokemontcg.io/sv10/188_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-188
sv8pt5-169,Terapagos ex,1024.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/169_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-169
sv8pt5-163,Pecharunt ex,1025.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/163_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-163
me1-183,Acerola's Mischief,,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/183_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-183
sv8pt5-170,Amarys,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/170_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-170
sv7-155,Archaludon,,Stellar Crown,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/155_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-155
sv4pt5-235,Arven,,Paldean Fates,Scarlet & Violet,Special Illustration Rare,aspara,https://images.pokemontcg.io/sv4pt5/235_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-235
sv1-249,Arven,,Scarlet & Violet,Scarlet & Violet,Special Illustration Rare,kantaro,https://images.pokemontcg.io/sv1/249_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-249
sv5-209,Bianca's Devotion,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,Cona Nitanda,https://images.pokemontcg.io/sv5/209_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-209
sv2-265,Boss's Orders (Ghetsis),,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,hncl,https://images.pokemontcg.io/sv2/265_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-265
sv7-171,Briar,,Stellar Crown,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/171_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-171
me2pt5-291,Canari,,Ascended Heroes,Mega Evolution,Special Illustration Rare,kantaro,https://images.scrydex.com/pokemon/me2pt5-291/large,N/A
sv6-217,Carmine,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,En Morikura,https://images.pokemontcg.io/sv6/217_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-217
sv6pt5-94,Cassiopeia,,Shrouded Fable,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/94_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-94
sv8-243,Clemont's Quick Wit,,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/243_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-243
sv4pt5-236,Clive,,Paldean Fates,Scarlet & Violet,Special Illustration Rare,Taiga Kayama,https://images.pokemontcg.io/sv4pt5/236_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-236
sv6-215,Cornerstone Mask Ogerpon ex,,Twilight Masquerade,Scarlet & Violet,Special Illustration Rare,Yano Keiji,https://images.pokemontcg.io/sv6/215_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-215
sv8pt5-171,Crispin,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/171_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-171
me2-129,Dawn,,Phantasmal Flames,Mega Evolution,Special Illustration Rare,Atsushi Furusawa,https://images.pokemontcg.io/me2/129_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-129
sv2-266,Dendra,,Paldea Evolved,Scarlet & Violet,Special Illustration Rare,GIDORA,https://images.pokemontcg.io/sv2/266_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-266
sv6-170,Dipplin,,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Akira Komayama,https://images.pokemontcg.io/sv6/170_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-170
sv8pt5-172,Drayton,,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/172_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-172
sv8-244,Drayton,,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/244_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-244
sv5-210,Eri,,Temporal Forces,Scarlet & Violet,Special Illustration Rare,DOM,https://images.pokemontcg.io/sv5/210_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-210
sv3pt5-203,Erika's Invitation,,151,Scarlet & Violet,Special Illustration Rare,Cona Nitanda,https://images.pokemontcg.io/sv3pt5/203_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-203
sv10-236,Ethan's Adventure,,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Kariya,https://images.pokemontcg.io/sv10/236_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-236
sv6pt5-73,Fezandipiti,,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/73_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-73
